x	prime	fixed	sma	med	big
168	0.0996	0.1331	0.0978	0.0935	0.0869
169	0.0972	0.1204	0.0969	0.0901	0.0877
170	0.0971	0.121	0.0955	0.0921	0.0887
171	0.0984	0.1284	0.0966	0.0914	0.0874
172	0.0974	0.1354	0.0962	0.0924	0.0871
173	0.0989	0.1301	0.0962	0.0896	0.0872
174	0.1	0.1315	0.0956	0.0928	0.0889
175	0.0963	0.126	0.0959	0.0926	0.0876
176	0.0979	0.1319	0.094	0.0921	0.0861
177	0.099	0.1196	0.0958	0.0919	0.0875
178	0.0977	0.1327	0.0962	0.0918	0.0864
179	0.0989	0.1239	0.0978	0.0921	0.0868
180	0.0964	0.1256	0.0956	0.0913	0.0872
181	0.1008	0.1242	0.0954	0.0897	0.0848
182	0.1001	0.1211	0.0914	0.0897	0.0859
183	0.0967	0.1269	0.0944	0.0909	0.0863
184	0.0998	0.1236	0.0938	0.0886	0.0845
185	0.0984	0.1232	0.093	0.0896	0.0868
186	0.0989	0.1308	0.0925	0.0897	0.0849
187	0.0979	0.1245	0.0941	0.0898	0.0853
188	0.0984	0.1199	0.0933	0.0888	0.0859
189	0.0937	0.1154	0.0944	0.0907	0.0854
190	0.1021	0.1155	0.0938	0.0878	0.0874
191	0.0969	0.1225	0.0922	0.0882	0.0849
192	0.098	0.1277	0.0929	0.0888	0.0855
193	0.0976	0.1259	0.0932	0.0875	0.083
194	0.0982	0.1224	0.0924	0.089	0.0857
195	0.0992	0.1201	0.0922	0.0883	0.085
196	0.0975	0.1232	0.0952	0.0881	0.0841
197	0.0983	0.1247	0.0931	0.0903	0.0862
198	0.0964	0.1188	0.0934	0.0882	0.0842
199	0.0943	0.1241	0.0932	0.0878	0.0839
200	0.0942	0.1274	0.0947	0.0898	0.0862
